Indonesia,Javanese,Alphabet
anggup,"kc. angguk.
--- 13 ---",a
anggur,"i (buah, air-) anggur. ii dianggur: dikêthok digawe turus (bibit); angguran: sêtèk, turus. iii menganggur: nganggur; penganggur: wong nganggur; pêngangguran: bab wong nganggur.",a
anggut,"beranggut, menganggut: manggut-manggut tmr. prau; wong ngantuk lsp.",a
"anghun, anggun",têmbako cina.,a
angin,"angin (ing têmbung palayaran akèh bangêt araning angin kyt. angin bidai, angin haluan, angin buritan lsp.); main angin: mencla-mencle; makan angin: mlaku-mlaku; cakap angin: omong ngayawara; kabar angin: kabar kang durung têrang; berangin: ngisis, kêna ing angin, kanginan; di(per)anginkan: diangin-anginake, diisis; peranginan: pangisisan.",a
angit,sangit.,a
angka,"angka, ciri; diangkakan: diangkani, dicirèni; berangka-angka: nggagas-nggagas; perangkaan: pratelan cathêtan angka-angka (setatistik).",a
angkar,angkêr.,a
angkara,"1 dakmênang, sawênang-wênang; 2 kumêndêl, kurang ajar.",a
angkasa,awang-awang.,a
angkat,"angkat bicara: wiwit gunêman; berangkat: mangkat, budhal; diangkat: 1 diangkat, dijunjung, diunggahake; 2 (ut. diangkat-angkat) diumpak; 3 diladèkake tmr. pisuguh lsp; angkatan: brêgada, bêbarêngan lêlungan ut. nglurug; angkatan darat: wadyabala dharatan; angkatan laut: wadyabala lautan.",a
angkelung,angklung.,a
angkeruh,kêsusu.,a
angkin,"angkin, usus-usus.",a
angkit,diangkit: diêntas (cèrèt saka ing anglo lsp.).,a
angkuh,"angkuh, umuk.",a
angkup,"sapit, japit, supit; diangkup: dijapit, disupit.",a
"angkus, angkusa",cis.,a
angkut,diangkut: diusungi.,a
angkut-angkut,tawon tutur.,a
anglo,anglo.,a
angsa,banyak.,a
angsana,wit sana.,a
angsoka,wit soka.,a
angsur,"berangsur (-angsur): saka sathithik; diangsur: dicicil, ditindakake saka sathithik; angsuran: cicilan.",a
angus,"gosong, gêsêng, kêbrongot.",a
angut,"mengangut: nggêglêg nglangut, nglamun.",a
ani,ar. piranti panênunan dianggo nata lan masang lawe; mengani: masang lan nata lawe.,a
aniaya,"kaniaya; dianiayai(kan): dikaniaya, dipilara.",a
anja,"kolongan ing tiyang prau, payung lsp.",a
anjak,beranjak: ngalih; dianjak: diêlih ênggone tmr. têtuwuhan lsp.,a
anjal,"menganjal: mêndal, mêntul.",a
anjang,wc. panjang.,a
anjang-anjang,ar. iwak sagara.,a
anjar,jangkar.,a
anjar-anjai,jêmpalikan.,a
anjing,asu.,a
anjing air,wlingsang.,a
anjing hutan,asu ajag.,a
anjing tanah,orong-orong.,a
anjing-anjing,1 kêncèt; 2 ar. wowohan.,a
anjir,wit anjir (bangsa ara kêlêbuk).,a
anjung,"1 sênthonganing omah kang jrambahe luwih dhuwur; 2 (ut. ajung-anjung,[1] anjungan) papan ing prau luwih dhuwur tinimbang jrambah dianggo palinggihane wong kang mêlahi; dianjung: 1 diumbulake, diulukake, dicungulake; 2 diumpak.",a
anjur,"menganjur: nglojok, moncol maju; dianjurkan: 1 dilojokake, diajokake; 2 diulungake maju; 3 dicungulake, diusulake; penganjur: pangarêp, panuntun; anjuran: usul, ada-ada.",a
anoa,ar. kewan bngs kêbo.,a
antah,"gabah, las ing bêras.",a
antakesuma,mawa corak kêkêmbangan warna-warna.,a
antan,alu.,a
antap,antêb.,a
antar,diantarkan: diêtêrake; kc. hantar.,a
antara,"1 antara, lêt; 2 (ut. diantara, diantaranya) [di...]
--- 14 ---",a
antelas,kêsting.,a
antero,"sakabèhe, sakèhe.",a
anti,anti (mungsuh).,a
anting,batu anting: bandhul ing jangkar lsp.; anting-anting: 1 anting-anting; 2 bandhul; menganting: gumandhul geyong-geyong.,a
antui,"antoi, bngs. wit kênanga.",a
antuk,"mengantuk: 1 ngantuk; 2 (ut. berantuk) natab, njêglug, nyandhung; terantuk: kêsandhung, kêtatap.",a
antul,mengantul: mêndal.,a
antun,"bêsus, sarwa bêcik; berantun: macak, dandan.",a
antup,êntup; kc. sengat.,a
anu,anu.,a
anugerah,"pêparing, ganjaran; dianugerahi: diganjar.",a
anum,anom.,a
anun,anu.,a
anur,kc. andur.,a
anut,"menganut: manut, mèlu, miturut; penganut: wong kang miturut salah sawijining panêmu ut. agama.",a
anyam,dianyam: diênam; anyaman: nam-naman.,a
anyang,bngs. gêcok iwak mêntah.,a
anyir,amis.,a
apa,"apa; barang apa, segala apa: samubarang; tiada apa (mengapa): ora apa-apa; apalah: mbok iya ... ; mengapa: ana ngapa, geneya, sabab apa; di(peng)apakan, di(peng)apai: dikapakake.",a
apabila,"kapan, besuk apa, samangsa.",a
apak,"apêk, pênguk.",a
apakala,"kapan, samangsa.",a
apal,apal.,a
apalagi,"apamanèh, luwih-luwih.",a
apam,apêm.,a
apam dewa,sêmanggi gunung.,a
apas,luwês sarta cèkli.,a
